Time: 2018-08-14 00:10:33
Path of this file: /Users/audrey/GitProjects_2016/Projects/DeveloperVersion/lxa5/linguistica_wordvec/datasets/lxa_outputs/stems_to_signatures.txt

System info:
=============================================
System: Darwin
Node: audreyxvi.local
Release: 17.5.0
Version: Darwin Kernel Version 17.5.0: Mon Mar  5 22:24:32 PST 2018; root:xnu-4570.51.1~1/RELEASE_X86_64
Machine: x86_64
Processor: i386
Python version: 3.5.2

Packages:
=============================================
Linguistica 5.1.0-dev
SciPy 0.19.1
NumPy 1.13.1
NetworkX 1.11

Linguistica parameters:
=============================================
{'keep_case': 0,
 'max_affix_length': 4,
 'max_word_tokens': 0,
 'max_word_types': 7000,
 'min_context_count': 3,
 'min_sig_count': 5,
 'min_stem_length': 4,
 'n_eigenvectors': 6,
 'n_neighbors': 9,
 'suffixing': 1}

Input file information:
=============================================
Path: /Users/audrey/GitProjects_2016/Projects/DeveloperVersion/lxa5/linguistica_wordvec/datasets/english-brown.txt
Number of word types: 48781
Number of word tokens: 1145632

Results:
=============================================
Stems to signatures

\begin{tabular}{lll}
\toprule
Index      & Stems           & Signatures \\
70         & absurd          & NULL/ity/ly \\
71         & absurdit        & ies/y \\
72         & abundan         & ce/t/tly \\
73         & abundant        & NULL/ly \\
74         & abuse           & NULL/d/s \\
75         & academi         & c/es \\
76         & academic        & NULL/ally/s \\
77         & accede          & NULL/d \\
78         & accelerate      & NULL/d \\
79         & accelerati      & ng/on/ons \\
80         & acceleration    & NULL/s \\
81         & accelerator     & NULL/s \\
82         & accelerometer   & NULL/s \\
83         & accentuate      & NULL/d/s \\
84         & accessor        & ies/y \\
85         & accident        & NULL/al/ally/s \\
86         & accidental      & NULL/ly \\
87         & acclaim         & NULL/ed/s \\
88         & accolade        & NULL/s \\
89         & accommodat      & e/ed/es/ing/ion/ions \\
90         & accommodate     & NULL/d/s \\
91         & accommodati     & ng/on/ons \\
92         & accommodation   & NULL/s \\
93         & accompanie      & d/s \\
94         & accompaniment   & NULL/s \\
95         & accompanist     & NULL/s \\
96         & accompany       & NULL/ing \\
97         & accomplice      & NULL/s \\
98         & accomplishe     & d/s \\
99         & accomplishment  & NULL/s \\
100        & accordi         & ng/ngly/on \\
101        & according       & NULL/ly \\
102        & accost          & ed/ing \\
103        & accountant      & NULL/s \\
104        & accretion       & NULL/s \\
105        & accru           & ed/es/ing \\
106        & accrue          & d/s \\
107        & acculturat      & ed/ion \\
108        & accumulat       & e/ed/es/ing/ion \\
109        & accumulate      & NULL/d/s \\
110        & accumulati      & ng/on \\
111        & accurate        & NULL/ly \\
112        & accus           & e/ed/es/ing \\
113        & accusation      & NULL/s \\
114        & accuse          & NULL/d/s \\
115        & accusing        & NULL/ly \\
116        & achaeans        & '/NULL \\
117        & acheson         & 's/NULL \\
118        & achiev          & e/ed/es/ing \\
119        & achieve         & NULL/d/ment/s \\
120        & achievement     & NULL/s \\
121        & acid            & NULL/ity/s \\
122        & acknowledge     & NULL/d/ment/s \\
123        & acknowledgment  & NULL/s \\
124        & acoustic        & NULL/al/ally/s \\
125        & acoustical      & NULL/ly \\
126        & acquir          & e/ed/es/ing \\
127        & acquire         & NULL/d/s \\
128        & acquisition     & NULL/s \\
129        & acre            & NULL/age/s \\
130        & acrobatic       & NULL/s \\
131        & action          & NULL/s \\
132        & activat         & e/ed/ing/ion \\
133        & activate        & NULL/d \\
134        & activati        & ng/on \\
135        & active          & NULL/ly/s \\
136        & activit         & ies/y \\
137        & actor           & 's/NULL/s \\
138        & actress         & NULL/es \\
139        & actual          & NULL/ity/ly \\
140        & actualit        & ies/y \\
141        & actuarial       & NULL/ly \\
142        & actuate         & NULL/d \\
143        & acute           & NULL/ly \\
144        & adagio          & NULL/s \\
145        & adair           & 's/NULL \\
146        & adamant         & NULL/ly \\
147        & adams'          & NULL/s \\
148        & adapta          & ble/tion \\
149        & adaptation      & NULL/s \\
150        & adapte          & d/r/rs \\
151        & adapter         & NULL/s \\
152        & addition        & NULL/al/ally/s \\
153        & additional      & NULL/ly \\
154        & additive        & NULL/s \\
155        & adenauer        & 's/NULL \\
156        & adequate        & NULL/ly \\
157        & adheren         & ce/t/ts \\
158        & adherent        & NULL/s \\
159        & adhesi          & on/ve/ves \\
160        & adhesive        & NULL/s \\
161        & adirondack      & NULL/s \\
162        & adjectiv        & al/e/es \\
163        & adjective       & NULL/s \\
164        & adjoin          & ed/ing/s \\
165        & adjudg          & ed/ing \\
166        & adjudicat       & e/ion \\
167        & adjunct         & NULL/s \\
168        & adjustment      & NULL/s \\
169        & admassy         & 's/NULL \\
170        & administer      & NULL/ed/ing/s \\
171        & administrati    & on/ve/vely \\
172        & administration  & 's/NULL \\
173        & administrative  & NULL/ly \\
174        & administrator   & NULL/s \\
175        & admirabl        & e/y \\
176        & admire          & NULL/d/r/rs/s \\
177        & admirer         & NULL/s \\
178        & admiring        & NULL/ly \\
179        & admission       & NULL/s \\
180        & admit           & NULL/s/ted/ting \\
181        & admitted        & NULL/ly \\
182        & admonish        & ed/ing \\
183        & admonition      & NULL/s \\
184        & adolescen       & ce/t/ts \\
185        & adolescent      & 's/NULL/s \\
186        & adopti          & ng/on \\
187        & adore           & NULL/d/s \\
188        & adorn           & NULL/ed/s \\
189        & adri            & an/en \\
190        & adroit          & NULL/ness \\
191        & adsorb          & ed/s \\
192        & advanc          & e/ed/es/ing \\
193        & advance         & NULL/d/ment/s \\
194        & advancement     & NULL/s \\
195        & advantage       & NULL/ous/s \\
196        & advantageous    & NULL/ly \\
197        & adventists      & '/NULL \\
198        & adventure       & NULL/rs/s \\
199        & adversar        & ies/y \\
200        & adverse         & NULL/ly \\
201        & advertis        & e/ed/er/ers/es/ing \\
202        & advertisement   & NULL/s \\
203        & advertiser      & NULL/s \\
204        & advised         & NULL/ly \\
205        & adviser         & NULL/s \\
206        & advisor         & NULL/s/y \\
207        & advocat         & e/ed/es/ing \\
208        & advocate        & NULL/d/s \\
209        & aerate          & NULL/d/s \\
210        & aerial          & NULL/s \\
211        & aerosol         & NULL/ized/s \\
212        & aeschbacher     & 's/NULL \\
213        & aesthetic       & NULL/s \\
214        & affaire         & NULL/s \\
215        & affecting       & NULL/ly \\
216        & affectionate    & NULL/ly \\
217        & affiliate       & d/s \\
218        & affiliation     & NULL/s \\
219        & affinit         & ies/y \\
220        & affirm          & NULL/ed/ing/s \\
221        & affirmati       & on/ons/ve/vely \\
222        & affirmation     & NULL/s \\
223        & affirmative     & NULL/ly \\
224        & affix           & NULL/ed \\
225        & afflict         & ed/ion/ions \\
226        & affliction      & NULL/s \\
227        & affluen         & ce/t \\
228        & afford          & NULL/ed/ing/s \\
229        & affront         & NULL/ed/ing \\
230        & afghan          & NULL/s \\
231        & africa          & NULL/n/ns \\
232        & african         & NULL/s \\
233        & afternoon       & 's/NULL/s \\
234        & afterward       & NULL/s \\
235        & again           & NULL/st \\
236        & agamemnon       & 's/NULL \\
237        & agenc           & ies/y \\
238        & agent           & 's/NULL/s \\
239        & aggie           & NULL/s \\
240        & agglomerat      & e/ion \\
241        & agglutinati     & ng/on \\
242        & agglutinin      & NULL/s \\
243        & aggravate       & NULL/d/s \\
244        & aggregation     & NULL/s \\
245        & aggressi        & on/ons/ve/vely \\
246        & aggression      & NULL/s \\
247        & aggressive      & NULL/ly/ness \\
248        & agil            & e/ely/ity \\
249        & agile           & NULL/ly \\
250        & agin            & NULL/g \\
251        & agitate         & NULL/d \\
252        & agitati         & ng/on \\
253        & agitator        & NULL/s \\
254        & agnes           & NULL/e \\
255        & agoniz          & ed/es/ing \\
256        & agonize         & d/s \\
257        & agreeabl        & e/y \\
258        & agreeable       & NULL/ness \\
259        & agreement       & NULL/s \\
260        & agricultural    & NULL/ly \\
261        & agriculture     & 's/NULL \\
262        & ahah            & -/NULL \\
263        & ahmad           & 's/NULL \\
264        & aide            & NULL/d/s \\
265        & ailey           & 's/NULL \\
266        & ailment         & NULL/s \\
267        & aimless         & NULL/ly \\
268        & ainu            & NULL/s \\
269        & air-condition   & ed/ing \\
270        & aircraft        & 's/NULL \\
271        & airfield        & NULL/s \\
272        & airline         & 's/NULL/s \\
273        & airplane        & NULL/s \\
274        & airport         & NULL/s \\
275        & airstrip        & NULL/s \\
276        & alai            & NULL/n \\
277        & alarming        & NULL/ly \\
278        & albania         & NULL/n/ns \\
279        & albanian        & NULL/s \\
280        & albert          & NULL/o \\
281        & alcoholi        & c/sm \\
282        & alcoholic       & NULL/s \\
283        & alderm          & an/en \\
284        & alexander       & 's/NULL \\
285        & algebra         & NULL/ic \\
286        & algebraic       & NULL/ally \\
287        & algeria         & NULL/n \\
288        & alibi           & NULL/s \\
289        & alienate        & NULL/d/s \\
290        & align           & NULL/ed/ing/ment \\
291        & alignment       & NULL/s \\
292        & alix            & 's/NULL \\
293        & alleged         & NULL/ly \\
294        & alleghen        & ies/y \\
295        & allegiance      & NULL/s \\
296        & allegor         & ic/ical/y \\
297        & allegoric       & NULL/al \\
298        & allen           & 's/NULL \\
299        & allergi         & c/es \\
300        & alleviati       & ng/on \\
301        & alliance        & 's/NULL/s \\
302        & allie           & d/s \\
303        & alligator       & NULL/ed \\
304        & allison         & 's/NULL \\
305        & alliterati      & on/ve \\
306        & allocat         & e/ed/ion/ions \\
307        & allocate        & NULL/d \\
308        & allocation      & NULL/s \\
309        & allotment       & NULL/s \\
310        & allott          & ed/ing \\
311        & allowance       & NULL/s \\
312        & alloy           & NULL/s \\
313        & allstates       & '/NULL \\
314        & allud           & ed/es/ing \\
315        & allude          & d/s \\
316        & allur           & e/ing \\
317        & allure          & NULL/ment \\
318        & allusion        & NULL/s \\
319        & almond          & NULL/s \\
320        & alone           & NULL/ness \\
321        & aloof           & NULL/ness \\
322        & alpert          & NULL/s \\
323        & alphabetic      & NULL/al \\
324        & alsatian        & NULL/s \\
325        & alteration      & NULL/s \\
326        & alternate       & NULL/d/ly \\
327        & alternative     & NULL/ly/s \\
328        & alto            & NULL/n \\
329        & alusik          & 's/NULL \\
330        & amadee          & 's/NULL \\
331        & amalgamat       & ed/ion \\
332        & amass           & NULL/ing \\
333        & amateur         & NULL/ish/s \\
334        & amateurish      & NULL/ness \\
335        & amaze           & NULL/d/ment \\
336        & amazing         & NULL/ly \\
337        & amazon          & NULL/s \\
338        & ambassador      & 's/NULL/s \\
339        & ambigu          & ity/ous \\
340        & ambiguit        & ies/y \\
341        & ambitio         & n/ns/us/usly \\
342        & ambition        & NULL/s \\
343        & ambitious       & NULL/ly \\
344        & ambivalen       & ce/t \\
345        & ambl            & ed/er/ing \\
346        & amble           & d/r \\
347        & ambulance       & NULL/s \\
348        & ambush          & NULL/ed/es \\
349        & ambushe         & d/s \\
350        & amend           & NULL/ed/ing/ment \\
351        & amendment       & 's/NULL/s \\
352        & amicabl         & e/y \\
353        & amis            & NULL/s \\
354        & among           & NULL/st \\
355        & amoral          & NULL/ity \\
356        & amorphous       & NULL/ly \\
357        & amount          & NULL/ed/ing/s \\
358        & amplifie        & d/r/rs \\
359        & amplifier       & NULL/s \\
360        & amplify         & NULL/ing \\
361        & amulet          & NULL/s \\
362        & amused          & NULL/ly \\
363        & amusement       & NULL/s \\
364        & amusing         & NULL/ly \\
365        & anabaptist      & NULL/s \\
366        & anachronism     & NULL/s \\
367        & anaconda        & 's/NULL/s \\
368        & analogous       & NULL/ly \\
369        & analogue        & NULL/s \\
370        & analyse         & d/s \\
371        & analyst         & 's/NULL/s \\
372        & analytical      & NULL/ly \\
373        & analyze         & NULL/d/r/s \\
374        & anarchic        & NULL/al \\
375        & anastomos       & es/is \\
376        & anatom          & ic/ical/y \\
377        & anatomical      & NULL/ly/s \\
378        & ancestor        & NULL/s \\
379        & ancient         & NULL/ly/s \\
380        & anderson        & 's/NULL \\
381        & andrei          & 's/NULL \\
382        & andrena         & NULL/s \\
383        & andrew          & NULL/s \\
384        & andrus          & NULL/es \\
385        & andy            & 's/NULL \\
386        & anecdot         & al/e/es \\
387        & anecdote        & NULL/s \\
388        & anemi           & a/c \\
389        & anesthetic      & NULL/ally/s \\
390        & angeles         & '/NULL \\
391        & angelo          & 's/NULL \\
392        & anger           & NULL/ed \\
393        & angle           & NULL/s \\
394        & anglican        & NULL/ism/s \\
395        & anglo-american  & NULL/s \\
396        & anglo-saxon     & NULL/s \\
397        & anguish         & NULL/ed \\
398        & anhydrous       & NULL/ly \\
399        & animal          & 's/NULL/s \\
400        & animat          & e/ed/ion \\
401        & animate         & NULL/d \\
402        & anionic         & NULL/s \\
403        & ankle           & NULL/s \\
404        & annihilat       & e/ion \\
405        & anniston        & 's/NULL \\
406        & anniversar      & ies/y \\
407        & announcement    & NULL/s \\
408        & announcer       & 's/NULL/s \\
409        & annoyance       & NULL/s \\
410        & annual          & NULL/ly \\
411        & anode           & NULL/s \\
412        & anonym          & ity/ous \\
413        & another         & 's/NULL \\
414        & antagonism      & NULL/s \\
415        & antagonist      & NULL/ic/s \\
416        & antecedent      & NULL/s \\
417        & antenna         & NULL/e/s \\
418        & anterior        & NULL/s \\
419        & anthem          & NULL/s \\
420        & anthony         & 's/NULL \\
421        & anthropologi    & cal/st/sts \\
422        & anthropologist  & NULL/s \\
423        & anti-american   & NULL/ism \\
424        & anti-catholic   & NULL/ism \\
425        & anti-communis   & m/t/ts \\
426        & anti-communist  & NULL/s \\
427        & anti-discriminat & ion/ory \\
428        & anti-intellectual & NULL/ism \\
429        & anti-semite     & NULL/s \\
430        & anti-semiti     & c/sm \\
431        & antibiotic      & NULL/s \\
432        & antibod         & ies/y \\
433        & anticipate      & NULL/d/s \\
434        & anticipati      & ng/on/ons \\
435        & anticipation    & NULL/s \\
436        & antiquarian     & NULL/s \\
437        & antique         & NULL/s \\
438        & antiquit        & ies/y \\
439        & antiser         & a/um \\
440        & anxiet          & ies/y \\
441        & anxious         & NULL/ly \\
442        & anybody'        & d/s \\
443        & anyone          & 's/NULL \\
444        & anythin         & NULL/g \\
445        & anyway          & NULL/s \\
446        & apache          & NULL/s \\
447        & apart           & NULL/ment \\
448        & apartment       & NULL/s \\
449        & apocrypha       & NULL/l \\
450        & apollo          & 's/NULL \\
451        & apologetic      & NULL/ally \\
452        & apologie        & NULL/s \\
453        & apologize       & NULL/d \\
454        & apostle         & NULL/s \\
455        & appalachian     & NULL/s \\
456        & appall          & ed/ing \\
457        & appalling       & NULL/ly \\
458        & apparel         & NULL/ed \\
459        & apparen         & cy/t/tly \\
460        & apparent        & NULL/ly \\
461        & appeal          & NULL/ed/ing/s \\
462        & appearance      & NULL/s \\
463        & appearin        & '/g \\
464        & appeas          & e/ed/ing \\
465        & appease         & NULL/d/ment \\
466        & appendix        & NULL/es \\
467        & appetite        & NULL/s \\
468        & applaud         & NULL/ed/ing \\
469        & appliance       & NULL/s \\
470        & applicant       & NULL/s \\
471        & application     & NULL/s \\
472        & applie          & d/s \\
473        & apply           & NULL/ing \\
474        & appointee       & NULL/s \\
475        & appointment     & NULL/s \\
476        & apportion       & NULL/ed/ment \\
477        & apportionment   & NULL/s \\
478        & appraisal       & NULL/s \\
479        & appraise        & NULL/d/rs \\
480        & appraising      & NULL/ly \\
481        & appreciabl      & e/y \\
482        & appreciate      & NULL/d/s \\
483        & appreciation    & NULL/s \\
484        & appreciative    & NULL/ly \\
485        & apprehend       & NULL/ed \\
486        & apprehension    & NULL/s \\
487        & apprentices     & NULL/hip \\
488        & approache       & d/s \\
489        & appropriati     & ng/on/ons \\
490        & appropriation   & NULL/s \\
491        & approve         & NULL/d/s \\
492        & approving       & NULL/ly \\
493        & approximate     & NULL/d/ly \\
494        & approximation   & NULL/s \\
495        & apron           & NULL/s \\
496        & aptitude        & NULL/s \\
497        & arabi           & a/c \\
498        & arabia          & NULL/n/ns \\
499        & arabian         & NULL/s \\
500        & arabs           & '/NULL \\
501        & arbitrar        & ily/y \\
502        & arbitrat        & e/ed/ion \\
503        & arbitrate       & NULL/d \\
504        & arbuckle        & 's/NULL \\
505        & arcade          & NULL/d/s \\
506        & archaeologi     & cal/sts \\
507        & archangel       & NULL/s \\
508        & archbishop      & NULL/s' \\
509        & architects      & '/NULL \\
510        & architectur     & al/e/es \\
511        & architecture    & NULL/s \\
512        & arden           & NULL/t \\
513        & arena           & NULL/s \\
514        & argue           & NULL/d/s \\
515        & argument        & NULL/s \\
516        & arhat           & NULL/s \\
517        & arianis         & m/t/ts \\
518        & arianist        & NULL/s \\
519        & arid            & NULL/ity \\
520        & arise           & NULL/n/s \\
521        & aristocrat      & ic/s \\
522        & aristocratic    & NULL/ally \\
523        & aristotle       & 's/NULL \\
524        & arithmetic      & NULL/al \\
525        & arkansas        & '/NULL \\
526        & arlene          & 's/NULL \\
527        & armament        & NULL/s \\
528        & armchair        & NULL/s \\
529        & armory          & 's/NULL \\
530        & armpit          & NULL/s \\
531        & army            & 's/NULL \\
532        & arnold          & 's/NULL \\
533        & aromatic        & NULL/k \\
534        & arouse          & NULL/d/s \\
535        & arraign         & ed/ing \\
536        & arrang          & e/ed/ers/es/ing \\
537        & arrangement     & NULL/s \\
538        & array           & NULL/ed \\
539        & arrest          & NULL/ed/ing/s \\
540        & arrival         & NULL/s \\
541        & arrive          & NULL/d/s \\
542        & arrogan         & ce/t/tly \\
543        & arrogant        & NULL/ly \\
544        & arrowhead       & NULL/s \\
545        & arteriol        & ar/es \\
546        & artery          & 's/NULL \\
547        & artful          & NULL/ly/ness \\
548        & arthur          & 's/NULL \\
549        & article         & NULL/s \\
550        & articulat       & e/ed/ion/ions \\
551        & articulate      & NULL/d \\
552        & articulation    & NULL/s \\
553        & artifice        & NULL/r \\
554        & artificial      & NULL/ity/ly \\
555        & artisan         & NULL/s \\
556        & artistic        & NULL/ally \\
557        & artists         & '/NULL \\
558        & artur           & NULL/o \\
559        & arylesterase    & NULL/s \\
560        & ascend          & NULL/ed/ing \\
561        & ascetic         & NULL/ism \\
562        & ascribe         & NULL/d/s \\
563        & asian           & NULL/s \\
564        & askin           & '/g \\
565        & asking          & NULL/ton \\
566        & askington       & 's/NULL \\
567        & aspect          & NULL/s \\
568        & aspencade       & NULL/s \\
569        & aspirant        & NULL/s \\
570        & aspiration      & NULL/s \\
571        & aspire          & NULL/d/s \\
572        & aspirin         & NULL/g \\
573        & ass'n           & NULL/s' \\
574        & assailant       & NULL/s \\
575        & assassinat      & ed/ion \\
576        & assault         & NULL/ed/ing/s \\
577        & assay           & NULL/ed/ing \\
578        & assemblage      & NULL/s \\
579        & assemble        & NULL/d \\
580        & assembli        & es/ng \\
581        & assent          & NULL/ed \\
582        & assert          & NULL/ed/ing/ion/ions/ive/s \\
583        & asserti         & ng/on/ons/ve \\
584        & assertion       & NULL/s \\
585        & assertive       & NULL/ness \\
586        & assessment      & NULL/s \\
587        & assessor        & 's/NULL/s/s' \\
588        & assessors       & '/NULL \\
589        & asset           & NULL/s \\
590        & assign          & NULL/ed/ing/ment/s \\
591        & assignment      & NULL/s \\
592        & assimilat       & e/ed/ion \\
593        & assimilate      & NULL/d \\
594        & assistan        & ce/t/ts \\
595        & assistant       & NULL/s \\
596        & associat        & e/ed/es/ing/ion/ions \\
597        & associate       & NULL/d/s \\
598        & association     & 's/NULL/s \\
599        & assort          & ed/ment \\
600        & assum           & e/ed/es/ing \\
601        & assume          & NULL/d/s \\
602        & assumption      & NULL/s \\
603        & assurance       & NULL/s \\
604        & assure          & NULL/d/dly/s \\
605        & assured         & NULL/ly \\
606        & asteroid        & NULL/al \\
607        & astonish        & ed/ing/ment \\
608        & astonishing     & NULL/ly \\
609        & astound         & NULL/ed/ing \\
610        & astringen       & cy/t \\
611        & astronomical    & NULL/ly \\
612        & astute          & NULL/ness \\
613        & asymmetr        & ic/y \\
614        & asymmetric      & NULL/ally \\
615        & asymptotic      & NULL/ally \\
616        & atheist         & ic/s \\
617        & athenian        & NULL/s \\
618        & athlete         & 's/NULL/s/s' \\
619        & athletes        & '/NULL \\
620        & athletic        & NULL/ism/s \\
621        & atlanta         & 's/NULL \\
622        & atlantic        & NULL/a \\
623        & atmospher       & e/es/ic \\
624        & atmosphere      & NULL/s \\
625        & atone           & NULL/ment \\
626        & attache         & d/s \\
627        & attachment      & NULL/s \\
628        & attacke         & d/r/r's/rs \\
629        & attacker        & 's/NULL/s \\
630        & attain          & NULL/ed/ing/ment/s \\
631        & attainment      & NULL/s \\
632        & attempt         & NULL/ed/ing/s \\
633        & attendan        & ce/t/ts \\
634        & attendant       & NULL/s \\
635        & attenti         & on/ons/ve/vely \\
636        & attention       & NULL/s \\
637        & attentive       & NULL/ly \\
638        & attest          & NULL/ed/ing \\
639        & attic           & NULL/a \\
640        & attire          & NULL/d \\
641        & attitude        & NULL/s \\
642        & attorney        & 's/NULL/s \\
643        & attract         & NULL/ed/ing/ion/ions/ive/s \\
644        & attraction      & NULL/s \\
645        & attractive      & NULL/ly \\
646        & attribute       & NULL/d/s \\
647        & auctioneer      & 's/NULL \\
648        & audibl          & e/y \\
649        & audience        & NULL/s \\
650        & auditi          & ng/on/ons \\
651        & audition        & NULL/ing/s \\
652        & auditor         & NULL/s \\
653        & augment         & NULL/ed/ing \\
654        & augustine       & 's/NULL \\
655        & aural           & NULL/ly \\
656        & auspicious      & NULL/ly \\
657        & auster          & e/ely/ity \\
658        & austere         & NULL/ly \\
659        & austin          & 's/NULL \\
660        & australia       & NULL/n \\
661        & austria         & NULL/n \\
662        & authenticate    & NULL/d \\
663        & authentication  & NULL/s \\
664        & authorit        & ies/y/y's \\
665        & authoritarian   & NULL/ism \\
666        & authoritative   & NULL/ly \\
667        & authority       & 's/NULL \\
668        & authoriz        & e/ed/es/ing \\
669        & authorization   & NULL/s \\
670        & authorize       & NULL/d/s \\
671        & autis           & m/tic \\
672        & autobiograph    & ic/ical/y \\
673        & autobiographic  & NULL/al \\
674        & autocrat        & ic/s \\
675        & automate        & NULL/d \\
676        & automatic       & NULL/ally \\
677        & automobile      & NULL/s \\
678        & autonom         & ic/y \\
679        & autops          & ied/y \\
680        & autumn          & NULL/al \\
681        & auxiliar        & ies/y \\
682        & availabilit     & ies/y \\
683        & aveng           & e/ing \\
684        & aventin         & e/o \\
685        & avenue          & NULL/s \\
686        & averag          & e/ed/es/ing \\
687        & average         & NULL/d/s \\
688        & avert           & NULL/ed/ing \\
689        & avia            & ry/tion \\
690        & aviator         & NULL/s \\
691        & avid            & NULL/ity/ly \\
692        & avocado         & NULL/s \\
693        & await           & NULL/ed/ing/s \\
694        & awaken          & NULL/ed/ing/s \\
695        & award           & NULL/ed/ing/s \\
696        & aware           & NULL/ness \\
697        & away            & NULL/e \\
698        & awful           & NULL/ly/ness \\
699        & awkward         & NULL/ly/ness \\
700        & axial           & NULL/ly \\
701        & axiom           & NULL/atic/s \\
702        & axle            & NULL/s \\
703        & azalea          & NULL/s \\
704        & b'dikkat        & 's/NULL \\
705        & babylonian      & NULL/s \\
706        & bachelor        & NULL/s \\
707        & backbend        & NULL/s \\
708        & backe           & d/rs \\
709        & background      & NULL/s \\
710        & backs           & NULL/ide \\
711        & backstitch      & NULL/ing \\
712        & backward        & NULL/s \\
713        & backyard        & NULL/s \\
714        & bacteria        & NULL/l \\
715        & baffl           & e/ed/ers/ing \\
716        & baffle          & NULL/d/rs \\
717        & bahi            & NULL/a \\
718        & bait            & NULL/ed \\
719        & bake-off        & NULL/s \\
720        & baker           & NULL/y \\
721        & balaguer        & 's/NULL \\
722        & balanc          & e/ed/es/ing \\
723        & balance         & NULL/d/s \\
724        & balcon          & ies/y \\
725        & bale            & NULL/ful/s \\
726        & balkaniz        & e/ing \\
727        & balkin          & ess/g \\
728        & balla           & d/st \\
729        & ballad          & NULL/s \\
730        & ballard         & NULL/s \\
731        & balle           & d/t/ts \\
732        & ballerina       & NULL/s \\
733        & ballet          & NULL/s \\
734        & ballistic       & NULL/s \\
735        & balloon         & NULL/ing/s \\
736        & ballot          & NULL/s \\
737        & ballplayer      & NULL/s \\
738        & baltimore       & 's/NULL/an \\
739        & banana          & NULL/s \\
740        & bancroft        & 's/NULL \\
741        & bandag          & e/ed/es/ing \\
742        & bandage         & NULL/d/s \\
743        & bang-jensen     & 's/NULL \\
744        & bangi           & ng/sh \\
745        & banishe         & d/s \\
746        & banister        & NULL/s \\
